,day_of_week,month,year,quarter,is_weekend,avg_temperature,max_temperature,min_temperature,temp_std_dev,temp_range,morning_temp,afternoon_temp,evening_temp,night_temp,total_precipitation,max_hourly_precipitation,avg_precipitation,hours_with_rain,avg_wind_speed,max_wind_speed,min_wind_speed,dominant_wind_direction,avg_humidity,max_humidity,min_humidity,avg_pressure,max_pressure,min_pressure,avg_cloud_cover,hours_hot,hours_cold,hours_humid,hours_windy,hours_cloudy,avg_temp_humidity_index,avg_wind_chill_index,avg_data_quality_score,total_hourly_records
count,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3650.0,3650.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0,3655.0
mean,2.9958960328317374,6.519835841313269,2024.5567715458276,2.5075239398084817,0.28454172366621067,25.903778385772913,29.837154582763336,22.904049247606025,2.2913351573187413,6.933105335157319,28.30610410958904,25.071315068493153,23.850629274965797,25.368610123119016,6.551217510259917,2.327934336525308,0.27328043775649796,6.58467852257182,8.794744186046511,15.265887824897401,3.6101641586867306,162.26641039671682,79.9316415868673,93.60436114911083,61.967803009575924,1009.3300273597811,1011.6870314637483,1006.9012093023256,76.27348290013678,1.723392612859097,2.442954856361149,13.831190150478797,0.5515731874145007,17.011217510259918,29.900125854993163,25.02415595075239,100.0,23.976744186046513
std,1.9978736945894995,3.4500228814002405,0.5516482503141368,1.1175495972256628,0.4512576257794066,3.895478612197442,4.485607324845108,3.9785334999010056,0.83434567154489,2.3277280935061437,4.1968393084548286,3.720051858288544,3.741203466879038,4.041903308950046,12.975095846592607,3.679040842027616,0.5407349110176263,6.5330522960998305,3.4976979189600117,4.693219406773107,2.9913439846607695,60.33730044951354,9.127168363738695,6.040321472650441,13.245055859568465,5.403371365361109,5.6124454152326475,5.5343962729352425,25.826391970463256,2.997141035622316,6.0755563823492205,6.128366936991258,2.070066358228445,7.376320864193603,3.9498591752974734,3.9076032285207414,0.0,0.6284234659003752
min,0.0,1.0,2024.0,1.0,0.0,7.38,8.35,6.7,0.16,0.4,10.31,8.8,7.76,6.87,0.0,0.0,0.0,0.0,1.8,4.41,0.0,15.85,44.89,55.61,21.36,987.28,993.36,963.32,0.0,0.0,0.0,0.0,0.0,0.0,11.29,6.4,100.0,7.0
25%,1.0,4.0,2024.0,2.0,0.0,24.605,27.6,21.55,1.7,5.35,26.36,23.98,22.63,23.875,0.1,0.1,0.0,1.0,6.16,11.975000000000001,1.37,121.125,74.275,91.85499999999999,53.095,1006.25,1008.39,1003.82,60.33,0.0,0.0,10.0,0.0,12.0,28.705,23.494999999999997,100.0,24.0
50%,3.0,7.0,2025.0,3.0,0.0,26.86,30.8,24.25,2.22,6.8,28.89,25.97,24.96,26.54,1.4,0.5,0.06,5.0,8.11,14.76,2.79,153.52,82.43,95.46,64.46,1008.9,1011.1,1006.6,86.63,0.0,0.0,15.0,0.0,20.0,31.07,26.05,100.0,24.0
75%,5.0,10.0,2025.0,4.0,1.0,28.38,32.6,25.35,2.85,8.35,31.04,27.42,26.1,27.855,8.4,3.5,0.35,10.5,10.85,18.055,5.09,204.975,86.93,97.54,71.75999999999999,1012.005,1014.6,1009.64,97.92,3.0,0.0,18.0,0.0,24.0,32.34,27.53,100.0,24.0
max,6.0,12.0,2026.0,4.0,1.0,33.38,40.15,29.85,4.79,14.6,37.67,32.47,30.41,33.21,208.2,44.7,8.67,24.0,45.58,78.93,22.93,337.07,96.55,100.0,93.08,1028.58,1032.72,1027.1,100.0,14.0,24.0,24.0,24.0,24.0,36.15,32.51,100.0,24.0
